,Title,Desc,Type,BodyPart,Equipment,Level
612,Copenhagen plank,the copenhagen plank is an advanced version of the side plank performed with one foot on a bench and the other foot hovering under it this exercise targets the same muscles as the side plank including the obliques shoulders and lateral hips but places extra emphasis on the adductors and is more difficult than side planks on the floor most lifters will need to progress to this version after mastering the basic side plank or feet elevated side plank first ,Strength,Abdominals,Body Only,Intermediate
613,ACFT Hanging leg tuck,the hanging leg tuck is an exercise targeting the entire body including the arms upper back abs and hip flexors this specific exercise is part of the new army combat fitness test or acft it is performe while hanging from a bar and combines elements of a pull up with a leg raise experienced lifters make these look easy but beginners may need time to build up to sets of 8 12 reps ,Strength,Abdominals,Body Only,Intermediate
614,Alternating hanging knee raise,the alternating hanging knee raise is an exercise targeting the abs but which also works the lats and hip flexors rather than performing both legs at a time you lift one knee at a time and alternate with each rep as if marching in place knee raises are often performed for moderate to high reps such as 8 12 reps or more as part of ab focused training ,Strength,Abdominals,Body Only,Intermediate
619,Dumbbell suitcase crunch,the dumbbell suitcase crunch is a weighted version of a popular abdominal training exercise the simple addition of a weight makes the suitcase crunch far more difficult helping build the six pack muscles and providing a different stimulus to the core during training ,Strength,Abdominals,Medicine Ball,Intermediate
620,Medicine ball rotational throw,the medicine ball rotational throw is an explosive exercise targeting the abdominals including the obliques as well as the hips and upper back it involves standing sideways to the wall and twisting the torso to hurl a medicine ball into the wall then catching the ball on the ricochet it can be performed for lower reps with a focus on power or for higher reps with a focus on fat loss and conditioning ,Strength,Abdominals,Medicine Ball,Intermediate
621,Hollow-hold ball toss,the hollow hold ball toss is a more difficult version of the hollow body hold exercise it involves tossing a ball to a partner while maintaining an isometric hold in the hollow body position it can be done for reps or time in any ab focused workout or in an i go you go format ,Strength,Abdominals,Medicine Ball,Intermediate
622,Partner front Russian twist and pass,the partner front russian twist and pass is a weighted version of a popular abdominal training exercise that also utilizes a training partner to add another dynamic component it targets the oblique muscles as well as the deep muscles of the core and the rectus abdominis or six pack muscles it can be done for reps or time in an ab focused portion of any workout ,Strength,Abdominals,Medicine Ball,Beginner
623,Sit-up with single-arm overhand throw,the sit up with single arm overhand throw is an exercise targeting the core muscles but the inclusion of the throw also brings in other upper body muscles when you come to the top of the sit up position you throw a medicine ball using one arm to a partner who then throws it right back to you to be caught with both hands it can be performed for time or reps as part of the ab focused portion of any workout ,Plyometrics,Abdominals,Medicine Ball,Intermediate
624,Medicine ball partner twist,the medicine ball partner twist is a plyometrics exercise targeting the core muscles particularly the obliques you and a partner stand back to back and rotate in unison to pass a medicine ball back and forth on alternating sides ,Plyometrics,Abdominals,Medicine Ball,Intermediate
625,Partner side Russian twist and pass,the partner side russian twist and pass is a weighted version of a popular abdominal training exercise that also utilizes a training partner to add another dynamic component it primarily targets the oblique muscles as well as the deep muscles of the core and the rectus abdominis or six pack muscles it can be done for reps or time in an ab focused portion of any workout ,Strength,Abdominals,Medicine Ball,Beginner
626,Medicine ball half moon,the medicine ball half moon is a dynamic core exercise performed around and over a medicine ball or other short stationary object it is similar in some ways to a v up or reverse crunch and targets both the obliques and the rectus abdominis or six pack muscles it can be performed for reps or for time usually in dedicated ab training or as part of a medicine ball and bodyweight circuit workout ,Strength,Abdominals,Medicine Ball,Intermediate
627,Exercise ball roll-out,the exercise ball roll out is an exercise that strengthens the core shoulders and upper back muscles it starts in a plank style position with the arms resting on a ball then roll the ball out in front of you as far as you can while maintaining a strong neutral spinal position the lack of stability from the ball increases the degree of difficulty this is a difficult movement and beginners may need to use a limited range of motion ,Strength,Abdominals,Medicine Ball,Intermediate
628,Medicine ball pass,the medicine ball pass is a simple partner based exercise that involves throwing a weighted ball back and forth it can be part of a dynamic warm up for lifting or athletics but can also work as active rest or as a component of circuit training ,Strength,Abdominals,Medicine Ball,Intermediate
629,Partner medicine ball sit-up,the partner medicine ball sit up is a more difficult version of the traditional abdominal exercise two partners pass a medicine ball back and forth at the top of each rep so each one must alternate a weighted rep with an unweighted rep this technique can be done for reps or time in any ab focused workout in an i go you go format ,Strength,Abdominals,Medicine Ball,Intermediate
630,Medicine ball Russian twist,the medicine ball russian twist is a weighted version of a popular abdominal training exercise it targets the oblique muscles as well as the deep muscles of the core and the rectus abdominis or six pack muscles it can be done for reps or time in the ab focused portion of any workout ,Strength,Abdominals,Medicine Ball,Intermediate
631,30 Medicine Ball Slam,the medicine ball slam is an explosive exercise for developing power strength and speed muscles worked include the abdominals legs triceps shoulders and lats the slams are usually done in rapid succession to complete one set it can also be a component of a power or athleticism focused circuit workout ,Strength,Abdominals,Medicine Ball,Intermediate
632,Medicine ball twist,the medicine ball twist is an exercise targeting the abdominal muscles particularly the obliques it is similar in many ways to a russian twist exercise the ball is held tight to the chest throughout the movement and then the torso is rotated from side to side for the desired number of reps or a set amount of time ,Strength,Abdominals,Medicine Ball,Intermediate
637,Decline oblique crunch,the decline oblique crunch is a popular bodyweight exercise targeting the obliques and the rectus abdominis or six pack muscles it is usually performed for high reps such as 10 15 reps per set or more as part of the ab focused portion of a workout ,Strength,Abdominals,Body Only,Intermediate
638,Decline sit-up,the decline sit up is a bodyweight core exercise that works the rectus abdominis or six pack muscles sit up variations are usually performed for moderate to high reps such as 10 15 reps per set or more as part of the core focused portion of a workout ,Strength,Abdominals,Body Only,Intermediate
639,Hanging Windshield Wiper,the hanging windshield wiper is an advanced abdominal training exercise that is also extremely challenging to other muscles of the upper body including the lats latissimus dorsi biceps and grip it requires and builds great strength in the rectus abdominis or six pack muscles as well as the obliques and deep core muscles if you can t perform it hanging from a bar the lying windshield wiper on the floor provides some of the same benefits ,Strength,Abdominals,Body Only,Intermediate
640,Exercise Ball Pull-In,the exercise ball knee roll in is an abdominal exercise that involves supporting yourself with your hands in a plank or push up position and drawing the knees in toward the chest this is a fairly advanced abdominal move requiring core strength ,Strength,Abdominals,Exercise Ball,Intermediate
641,Exercise ball crunch,the exercise ball crunch is a popular gym exercise targeting the abdominals unlike crunches on the floor or a bench by using a ball you can increase the range of motion and both stretch and contract the abs on every rep the ball crunch can be performed for low reps with a slower tempo focusing on a hard contraction or for higher reps ,Strength,Abdominals,Exercise Ball,Intermediate
642,Feet-elevated crunch,the feet elevated crunch is a variation on the basic crunch a very popular ab move resting the feet on a bench takes some of the hip flexor activation out of the movement focusing the stress more on the abs it may have a small range of motion but this movement produces a major burn ,Strength,Abdominals,Exercise Ball,Intermediate
644,Swiss Ball Ab Roll-Out,the exercise ball roll out is an exercise that strengthens the core shoulders and upper back muscles it starts in a plank style position with the arms resting on a ball then you roll the ball out in front of you as far as you can while maintaining a strong neutral spinal position the lack of stability from the ball increases the degree of difficulty this is a difficult movement and beginners may need to use a limited range of motion ,Strength,Abdominals,Exercise Ball,Intermediate
645,Exercise Ball Cable Crunch - Gethin Variation,the exercise ball crunch is a popular gym exercise targeting the abdominals unlike crunches on the floor or a bench by using a ball you can increase the range of motion and both stretch and contract the abs on every rep the ball crunch can be performed for low reps with a slower tempo focusing on a hard contraction or for higher reps ,Strength,Abdominals,Cable,Intermediate
646,Exercise ball squat and twist,the exercise ball squat and twist is a combination exercise targeting the quads but also the obliques because of the twisting motion with each repetition the exercise ball is held close to the chest throughout because it is a lightweight movement it is usually performed for high reps or for time and can be a great part of a bodyweight and exercise ball circuit ,Strength,Abdominals,Exercise Ball,Intermediate
647,Swiss Ball V-Up With Foot Pass,the exercise ball v up is a popular movement to target the abdominal muscles particularly the rectus abdominis or six pack muscles it involves passing an exercise ball or yoga ball back and forth between the hands and feet while performing v ups it can be performed for reps or time as part of any ab focused workout or bodyweight circuit ,Strength,Abdominals,Exercise Ball,Intermediate
648,Exercise ball pike,the exercise ball pike is a challenging move that targets the core it involves thrusting the hips into full flexion over a ball then extending out to a foot elevated plank with the feet on the ball it s a challenging move from a strength perspective but also for balance it can be the centerpiece of an ab workout or go along with other body weight or ball movements in an ab circuit ,Strength,Abdominals,Exercise Ball,Intermediate
649,Exercise ball bird dog,the exercise ball bird dog is a dynamic movement focusing on the glutes and the postural muscles of the upper back when performing it use an exercise ball that is tall enough to support your chest and core but short enough to allow your hands and knees to reach the ground it is slightly easier than a bodyweight bird dog and can work as a regression for that movement it can be done for time or reps as part of a warm up paired with movements in a workout or as a mobility or recovery exercise ,Strength,Abdominals,Exercise Ball,Intermediate
650,Exercise ball superman,the exercise ball superman is a slightly more advanced variation of the bodyweight superman exercise it targets many muscles along the posterior or backside of the body including the rear deltoids trapezius spinal erectors glutes and hamstrings it can be done for time or reps as part of a warm up paired with movements in a workout or as a mobility or recovery exercise ,Strength,Abdominals,Exercise Ball,Intermediate
651,BOSU cross-body crunch,the bosu cross body crunch is a dynamic abdominal exercise performed on a bosu ball or other stability training device it targets several of the muscles in the core including the obliques and the rectus abdominis or six pack muscles it is usually performed in alternating reps either for time or a number of reps as part of an ab focused workout or a circuit involving body weight or the bosu ball ,Strength,Abdominals,Exercise Ball,Intermediate
652,Exercise Ball Knee Tuck - Gethin Varation,the exercise ball knee roll in is an abdominal exercise that involves supporting yourself with your hands in a plank or push up position and drawing the knees in toward the chest this is a fairly advanced abdominal move requiring core strength ,Strength,Abdominals,Exercise Ball,Intermediate
653,Alternating Exercise Ball Knee Tucks - Gethin Variation,the exercise ball knee roll in is an abdominal exercise that involves supporting yourself with your hands in a plank or push up position and drawing the knees in toward the chest this is a fairly advanced abdominal move requiring core strength ,Strength,Abdominals,Exercise Ball,Intermediate
654,AM Ball Crunch,the exercise ball crunch is a popular gym exercise targeting the abdominals unlike crunches on the floor or a bench by using a ball you can increase the range of motion and both stretch and contract the abs on every rep the ball crunch can be performed for low reps with a slower tempo focusing on a hard contraction or for higher reps ,Strength,Abdominals,Exercise Ball,Intermediate
656,BOSU knee tuck,the bosu knee tuck is a dynamic abdominal movement performed on a bosu ball or other stability training device it primarily targets the rectus abdominis or six pack muscles of the core it can be performed for time or reps as part of an ab focused workout or a circuit involving body weight or the bosu ball ,Strength,Abdominals,Exercise Ball,Intermediate
657,30 Side Plank On Ball,the feet elevated side plank on ball is a more advanced version of a traditional bodyweight side plank the feet are balanced on an exercise ball providing a balance challenge but also increasing the load placed upon the obliques and shoulder muscles it is usually performed for timed holds either one side at a time or alternating sides if a ball is unavailable some of the benefits of the movement can be obtained by performing side planks with the feet elevated on a couch chair bench or other stable object ,Strength,Abdominals,Exercise Ball,Intermediate
658,Hanging exercise ball leg raise,the hanging exercise ball leg raise is an exercise targeting the abs and hip flexors instead of resting the forearms on the pads of an apparatus it s performed hanging from a bar with an exercise ball held between the legs ,Strength,Abdominals,Exercise Ball,Intermediate
661,Feet-elevated plank on ball,the feet elevated plank is a variation on the straight arm plank a bodyweight standard the feet are elevated on a ball to align the body parallel to the floor and provide a greater stabilization challenge this makes it more difficult than straight arm planks on the floor but also puts more emphasis on the shoulder muscles it is often used as a shoulder and core warm up or as a burnout movement for a chest or shoulder workout ,Strength,Abdominals,Exercise Ball,Intermediate
665,Iliotibial band SMR,iliotibial band self myofascial release smr is a self administered soft tissue treatment for the lower body usually using a foam roller or other trigger point massage tool by applying pressure strategically to the it band along the side of the upper leg some people find they can cause this often painful and tight area to relax or release it band smr is often accompanied by smr on the glute or quad muscles or by stretches that target the glutes or quads ,Stretching,Abductors,Foam Roll,Intermediate
666,Adductor SMR,adductor self myofascial release smr is a self administered soft tissue treatment for the lower body usually using a foam roller lacrosse ball or other trigger point massage tool by applying pressure strategically to the adductor muscles in the inner thigh region some people find they can cause this often painful and tight muscle to relax or release adductor smr is often accompanied by smr on the iliotibial it band or glutes tfl muscles or by stretches that target the adductors ,Stretching,Adductors,Foam Roll,Beginner
668,Lateral box jump,the lateral box jump is a plyometric exercise targeting lateral agility and lower body strength it s a great move for athletes in many sports including basketball skiing and tennis ,Plyometrics,Adductors,Other,Intermediate
669,Thigh adductor,the thigh adductor machine is a lower body exercise that targets the muscles of the inner thighs it is usually performed for moderate to high reps such as 8 12 reps per set or more as part of lower body training ,Strength,Adductors,Machine,Intermediate
670,Thigh abductor,the thigh abductor is a lower body exercise that targets the muscles of the outer hips and glutes it is usually performed for moderate to high reps such as 8 12 reps per set or more as part of lower body training ,Strength,Abductors,Machine,Intermediate
676,Lateral hop,the lateral hop is an explosive bodyweight exercise that consists of a two legged hop to the side it targets the lower body including the quads glutes and hamstrings performed for reps it also provides a serious cardiovascular challenge it can be performed for time or reps and is especially effective in a fat loss or athleticism focused circuit or workout ,Plyometrics,Adductors,Body Only,Intermediate
680,Single-leg lying cross-over stretch,the single leg lying cross over stretch is a simple bodyweight stretch targeting the lower back hips and glutes it involves rotating a single leg over the body while lying flat on the back it is commonly included in dynamic warm ups but can also be performed as full body mobility work anytime ,Stretching,Abductors,Body Only,Beginner
681,Carioca quick step,the carioca quick step is a lateral bodyweight exercise targeting the adductors but also promoting agility and overall conditioning it s a favorite of football players particularly defensive backs because it mimics the way they have to track wide receivers downfield it can also help mobilize the hips for athletes and lifters of all ability levels ,Plyometrics,Adductors,Body Only,Intermediate
682,Standing hip circle,the standing hip circle is a bodyweight exercise targeting the hips and abductor muscles it is a classic way to limber up after sitting for a long period or before a lower body workout or sports it requires no equipment and can be helpful for everyone from beginners to advanced fitness enthusiasts ,Stretching,Abductors,Body Only,Intermediate
683,Lateral cone hop,the lateral cone hop is an agility drill that involves jumping over cones or other short hurdles side to side rather than front to back it can be performed for reps or for time and can be beneficial for track athletes basketball players or any other athletes who need explosive lateral power ,Plyometrics,Adductors,Body Only,Intermediate
685,Dynamic pigeon stretch,the dynamic pigeon stretch is a lower body stretch targeting the glutes hips and piriformis it is influenced by the pigeon pose from yoga but involves moving in and out of the pose it can be part of a dynamic warm up or mobility work performed anytime ,Strength,Abductors,Body Only,Intermediate
686,Cross-over jack,the cross over jack is a variation on the jumping jack a popular calisthenics exercise used to improve overall conditioning the difference between the jumping jack and the cross over jack is that with the latter the feet don t just come together each rep they cross over each other it s a great way to add variety to your warm up or conditioning work ,Strength,Abductors,Body Only,Intermediate
687,Traveling thigh killa,the traveling thigh killa is a challenging lower body bodyweight exercise that builds muscular endurance with a series of hops forward and backward as well as bodyweight squats it can be performed for time or reps usually in a circuit workout or as a lower body finisher ,Strength,Abductors,Body Only,Intermediate
688,FYR Thigh Killa,the thigh killa is a challenging lower body bodyweight exercise that builds muscular endurance with a series of hops and bodyweight squats it can be performed for time or reps usually in a circuit workout or as a lower body finisher ,Strength,Abductors,Body Only,Intermediate
697,Side-lying leg adduction scissor,the side lying leg adduction scissor is a dynamic core exercise that combines the isometric hold of a side lying leg lift with leg adductions to further challenge the core and adductors it targets multiple muscles of the core primarily the rectus abdominis or six pack muscles it can be performed for time or reps in the ab focused portion of any workout ,Strength,Adductors,Body Only,Intermediate
700,Incline dumbbell biceps curl,the incline dumbbell biceps curl is an exercise targeting the biceps and performed face up on an incline bench this creates a vertical arm angle which helps to isolate the biceps and limit involvement of the shoulder muscles this curl variation is usually performed for moderate to high reps such as 8 12 reps per set or more as part of upper body or arm focused training ,Strength,Biceps,Bands,Intermediate
701,Banded biceps curl in squat position,the banded biceps curl in squat position is an exercise targeting the biceps although it also works the core and lower body ,Strength,Biceps,Bands,Intermediate
702,Banded Hammer Press - Gethin Variation,the machine chest press is an upper body exercise targeting the pectoral muscles ,Strength,Biceps,Bands,Intermediate
703,Band standing concentration curl,the band standing concentration curl is a variation of a popular biceps focused exercise utilizing a band instead of a dumbbell it allows you to focus on one biceps at a time and really squeeze out intense peak contractions band concentration curls are usually performed for moderate to high reps such as 8 12 reps per set or more as part of an upper body or arm focused workout ,Strength,Biceps,Bands,Intermediate
704,Brachialis SMR,brachialis self myofascial release smr is a self administered soft tissue treatment for the upper body usually using a foam roller lacrosse ball or other trigger point massage tool by applying pressure strategically to the biceps or brachialis muscles of the upper arm some people find they can cause this often painful and tight muscle to relax or release brachialis smr is often accompanied by smr on the triceps muscles or pectorals or by stretches that target the biceps or pecs ,Stretching,Biceps,Foam Roll,Beginner
705,Wide-grip barbell curl,the wide grip barbell curl is a variation of the classic barbell curl with the grip wider than shoulder width it is thought that this helps build the inner or short head of the biceps muscles this movement is usually performed for moderate to high reps such as 8 12 reps per set ,Strength,Biceps,Barbell,Beginner
706,EZ-bar spider curl,the ez bar spider curl is an exercise targeting the biceps and performed face down on either an incline bench or on the flat side of a preacher bench the ez bar makes for a more comfortable wrist position while the angle helps to isolate the biceps and limit involvement of the shoulder muscles this curl variation is usually performed for moderate to high reps such as 8 12 reps per set or more as part of upper body or arm focused training ,Strength,Biceps,Barbell,Intermediate
707,Barbell Curl,the barbell curl is an arm exercise that is also one of the most recognizable movements in all of bodybuilding and fitness it helps build sleeve popping biceps and allows heavier loading than many other curl variations it is usually performed in moderate to high reps such as 8 12 reps per set as part of the arm focused portion of any workout ,Strength,Biceps,Barbell,Intermediate
708,Close-grip EZ-bar curl,the close grip ez bar curl is an exercise targeting the biceps particularly the long head the main difference between this exercise and standard ez bar curls is that the hands are positioned closer together on the bar it is thought that this helps build the outer biceps head and the peak this curl variation is usually performed for moderate to high reps such as 8 12 reps per set ,Strength,Biceps,Barbell,Beginner
709,Preacher Curl,the ez bar preacher curl is a classic exercise for building bigger biceps this move is all about isolation with the back of the upper arms against the pad it s next to impossible to cheat go light get a great pump and build that peak ,Strength,Biceps,Barbell,Intermediate
712,Close-grip barbell curl,the close grip barbell curl is a curl variation where the hands are closer than shoulder width it is thought that this helps build the outer biceps head and the peak this curl variation is usually performed for moderate to high reps such as 8 12 reps per set ,Strength,Biceps,Barbell,Beginner
713,Drag curl,the drag curl is a biceps exercise that attempts to remove the influence of the front deltoids on the classic curl with the elbows kept back the barbell drags up the torso it is usually performed for moderate to high reps such as 8 15 reps per set as part of an upper body or arms focused workout ,Strength,Biceps,Barbell,Beginner
714,Reverse-grip barbell curl,the reverse grip barbell curl is a variation on the biceps curl where the palms face downward the switch from an underhand to an overhand grip brings the forearm and brachialis muscles more into the exercise if it is uncomfortable to the wrists try performing it on the angles of an ez curl bar ,Strength,Biceps,Barbell,Intermediate
716,Seated wide-grip curl to close-grip curl,the seated wide grip curl to close grip curl is a variation on the classic seated dumbbell curl it is thought that wide grip curls target the inner head of the biceps more while close grip curls target the outer head or peak this variation allows you to get the benefits of both ,Strength,Biceps,Barbell,Beginner
717,Seated Straigh-Bar Curl Superset,the seated wide grip curl to close grip curl is a variation on the classic seated dumbbell curl the variation is that the range of motion changes in alternating fashion one more traditional one where you re bringing the weight in more from the side ,Strength,Biceps,Barbell,Beginner
719,Reverse-grip EZ-bar curl,the reverse grip ez bar curl is an exercise targeting the biceps and forearms because grip strength is a limitation with this move it is often performed for moderate to high reps as part of an upper body or arm focused workout ,Strength,Biceps,Barbell,Intermediate
720,EZ-Bar Spider Curl - Gethin Variation,the ez bar spider curl is an isolation exercise targeting the biceps and performed face down on an incline bench the ez bar makes for a more comfortable wrist position ,Strength,Biceps,Barbell,Intermediate
721,Barbell curl-,the barbell curl is an arm exercise that is also one of the most recognizable movements in all of bodybuilding and fitness it helps build sleeve popping biceps and allows heavier loading than many other curl variations it is usually performed in moderate to high reps such as 8 12 reps per set as part of the arm focused portion of any workout ,Strength,Biceps,Barbell,Intermediate
722,Paul Carter Barbell Curl,the barbell curl is an arm exercise that is also one of the most recognizable movements in all of bodybuilding and fitness it helps build sleeve popping biceps and allows heavier loading than many other curl variations it is usually performed in moderate to high reps such as 8 12 reps per set as part of the arm focused portion of any workout ,Strength,Biceps,Barbell,Intermediate
723,Standing band biceps curl,the standing band biceps curl is an arm focused exercise using a band for resistance this variation is usually performed for moderate to high reps as part of an arms focused or upper body workout ,Strength,Biceps,Barbell,Intermediate
724,Close-Grip EZ-Bar Curl - Gethin Variation,the close grip ez bar curl is an exercise targeting the biceps particularly the long head the main difference between this exercise and standard barbell curls is that the hands are positioned closer together on the bar it is thought that this helps build the outer biceps head and the peak this curl variation is usually performed for moderate to high reps like at least 8 12 reps per set ,Strength,Biceps,Barbell,Intermediate
726,AM Standing Barbell Curl,the standing ez bar curl is an immenselyp popular exercise targeting the biceps it is commonly performed for moderate to high reps as part of an upper body or arms focused workout many gyms even have ez bars at fixed weights allowing for easy weight changes ,Strength,Biceps,Barbell,Intermediate
727,EZ-bar preacher curl,the ez bar preacher curl is a classic exercise for building bigger biceps this move is all about isolation with the back of the upper arms against the pad it s next to impossible to use momentum which forces the muscles to work harder ,Strength,Biceps,Barbell,Intermediate
732,Hammer Curls,this curl is performed simultaneously with dumbbells but without wrist supination throughout each rep the wrists remain neutral like a carpenter hammering a nail ,Strength,Biceps,Dumbbell,Intermediate
733,Biceps curl to shoulder press,the biceps curl to shoulder press is a dumbbell complex that combines two exercises that build and strengthen the biceps and shoulders or deltoids it is usually performed one rep of each movement at a time although you could perform more reps of each or increase the reps in successive rounds e g 1 rep in round 1 2 reps in round 2 etc no matter how you structure the sets and reps it is a time efficient way to hit two crucial upper body muscles in any workout ,Strength,Biceps,Dumbbell,Beginner
734,Concentration curl,the concentration curl is a classic exercise for building the biceps one arm at a time it can be performed bent over or kneeling but is more often performed seated on a bench it s great for emphasizing the biceps peak and is often used to finish a biceps workout like most curl variations these are usually performed for moderate to high reps such as 8 12 reps per set or more ,Strength,Biceps,Dumbbell,Intermediate
736,Dumbbell Bicep Curl,the dumbbell biceps curl is a single joint exercise for building bigger and stronger biceps popular among gym goers of all experience levels this move can be done seated or standing it is generally performed for moderate to high reps such as 8 12 reps or higher as part of the arm focused portion of a workout ,Strength,Biceps,Dumbbell,Intermediate
737,Cross-body hammer curl,the cross body hammer curl is a dumbbell exercise that targets the biceps brachialis and forearm muscles rather than lifting the weights directly in front of the body you lift them across the torso throughout each rep the wrists remain neutral like a carpenter hammering a nail this helps isolate the brachialis muscles on each arm it is generally performed for moderate to high reps such as 8 12 reps or more as part of the arm focused portion of a workout ,Strength,Biceps,Dumbbell,Beginner
738,Dumbbell Alternate Bicep Curl,the alternating biceps curl is a single joint exercise for building bigger and stronger biceps one arm at a time popular among gym goers of all experience levels this move can be done seated or standing it is generally performed for moderate to high reps such as 8 12 reps or higher as part of the arm focused portion of a workout ,Strength,Biceps,Dumbbell,Intermediate
739,Single-arm dumbbell preacher curl,the single arm dumbbell preacher curl is an exercise that focuses on building the biceps particularly the biceps peak most people will go light on this movement performing it for moderate to high reps as part of an upper body or arms focused workout ,Strength,Biceps,Dumbbell,Intermediate
740,Alternate Incline Dumbbell Curl,the alternating incline dumbbell biceps curl is an exercise targeting the biceps and performed face up on an incline bench this creates a vertical arm angle which helps to isolate the biceps and limit involvement of the shoulder muscles this curl variation is usually performed for moderate to high reps such as 8 12 rep per arm or more as part of upper body or arm focused training ,Strength,Biceps,Dumbbell,Intermediate
741,Standing concentration curl,the standing concentration curl is a variation on the more common seated concentration curl which is a staple of bodybuilding arm routines it can serve as a substitute for preacher curl variations if a preacher bench is unavailable and is also a classic way to focus in on the biceps peak it is usually performed for moderate to high reps such as 8 10 reps per set with a focus on strict form and controlled tempo ,Strength,Biceps,Dumbbell,Beginner
742,Alternating incline dumbbell biceps curl,the alternating incline dumbbell biceps curl is an exercise targeting the biceps and performed face up on an incline bench this creates a vertical arm angle which helps to isolate the biceps and limit involvement of the shoulder muscles this curl variation is usually performed for moderate to high reps such as 8 12 rep per arm or more as part of upper body or arm focused training ,Strength,Biceps,Dumbbell,Intermediate
743,Alternate Hammer Curl,the alternating hammer curl is performed with dumbbells but without wrist supination throughout each rep the wrists remain neutral like a carpenter hammering a nail ,Strength,Biceps,Dumbbell,Intermediate
744,Seated dumbbell biceps curl,the seated dumbbell biceps curl is a popular exercise for building bigger biceps while curls can effectively be performed standing as well performing them seated can enforce strict form and perhaps boost the mind muscle connection like most curl variations these are usually performed for moderate to high reps such as 8 12 reps per set or more ,Strength,Biceps,Dumbbell,Intermediate
746,Dumbbell preacher curl,the dumbbell preacher curl is an exercise that focuses on building the biceps particularly the biceps peak all you need is a pair of dumbbells and a preacher bench it s usually performed for moderate to high reps as part of an upper body or arms focused workout ,Strength,Biceps,Dumbbell,Intermediate
748,Standing Dumbbell Reverse Curl,with the reverse grip dumbbell curl the palms face down not up this unorthodox wrist position simultaneously targets the biceps while also building forearm and grip strength the move can performed standing or seated ,Strength,Biceps,Dumbbell,Beginner
749,Palms-out incline biceps curl,the palms out incline biceps curl is an exercise targeting the biceps it is largely similar to the incline dumbbell curl but the palms out position targets the long head of the biceps which is responsible for the biceps peak this curl variation is usually performed for moderate to high reps such as 8 12 reps per set or more as part of upper body or arm focused training ,Strength,Biceps,Dumbbell,Beginner
750,Straight-arm plank with biceps curl,the straight arm plank with biceps curl is a hybrid movement that trains the abdominal and biceps muscles simultaneously it can address multiple muscle groups in a time efficient muscle building or circuit style workout while also providing an additional cardiovascular challenge ,Strength,Biceps,Dumbbell,Beginner
751,Face-down incline dumbbell biceps curl,the face down incline dumbbell biceps curl is an exercise targeting the biceps and performed face down on an incline bench this creates a vertical arm angle which helps to isolate the biceps and limit involvement of the shoulder muscles this curl variation is usually performed for moderate to high reps such as 8 12 reps per set or more as part of upper body or arm focused training ,Strength,Biceps,Dumbbell,Beginner
754,Seated hammer curl,the seated hammer curl is a popular exercise for building bigger biceps and forearms the movement resembles hammering a nail hence the name while curls can effectively be performed standing as well performing them seated can enforce strict form and perhaps boost the mind muscle connection like most curl variations these are usually performed for moderate to high reps such as 8 12 reps per set or more ,Strength,Biceps,Dumbbell,Intermediate
755,Paul Carter Incline Dumbbell Biceps Curl,the incline dumbbell biceps curl is an isolation exercise targeting the biceps this variation targets the long head of the biceps more than a traditional curl and there is more overall tension to this muscle ,Strength,Biceps,Dumbbell,Intermediate
756,Paul Carter Concentration Curl,the concentration curl is a classic exercise for building the biceps one arm at a time it can be performed bent over or kneeling but is more often performed seated on a bench it s great for emphasizing the biceps peak and is often used to finish a biceps workout like most curl variations these are usually performed for moderate to high reps such as 8 12 reps per set or more ,Strength,Biceps,Dumbbell,Intermediate
757,FYR Dumbbell Curl,the dumbbell biceps curl is a single joint exercise for building bigger and stronger biceps popular among gym goers of all experience levels this move can be done seated or standing it is generally performed for moderate to high reps such as 8 12 reps or higher as part of the arm focused portion of a workout ,Strength,Biceps,Dumbbell,Intermediate
758,Dumbbell biceps curl to upright row,the dumbbell biceps curl to upright row is a dumbbell complex that combines two exercises that build and strengthen the biceps traps and the middle head of the deltoids it is usually performed one rep of each movement at a time although you could perform more reps of each or increase the reps in successive rounds e g 1 rep in round 1 2 reps in round 2 etc no matter how you structure the sets and reps it is a time efficient way to hit multiple upper body muscles in any workout ,Strength,Biceps,Dumbbell,Intermediate
759,FYR Dumbbell Hammer Curl,this curl is performed simultaneously with dumbbells but without wrist supination throughout each rep the wrists remain neutral like a carpenter hammering a nail ,Strength,Biceps,Dumbbell,Intermediate
760,Dumbbell overhead hold with single-arm curl,the dumbbell overhead hold with single arm curl combines an isometric overhead hold with a curl for the other arm the two movements collectively target the muscles of the shoulders and arms while providing a surprising core challenge expect to be challenged even with light weight ,Strength,Biceps,Dumbbell,Intermediate
761,FYR Kneeling Biceps,the kneeling concentration curl allows you to target the biceps without having the ability to use momentum from the rest of your body to move the weight ,Strength,Biceps,Dumbbell,Intermediate
762,Lunge hold dumbbell curl,the lunge hold dumbbell curl is a challenging complex that combines an isometric hold at the bottom of a lunge with a dumbbell biceps curl the two exercises combine to target the legs core and biceps the curl will determine the amount of weight you can use but even a light weight will make the lunge hold seriously challenging ,Strength,Biceps,Dumbbell,Intermediate
763,FYR Dumbbell Biceps Curl,the dumbbell biceps curl is a single joint exercise for building bigger and stronger biceps popular among gym goers of all experience levels this move can be done seated or standing it is generally performed for moderate to high reps such as 8 12 reps or higher as part of the arm focused portion of a workout ,Strength,Biceps,Dumbbell,Intermediate
